2025-08-20 16:59:09,068 - INFO - Starting SHODes Framework
2025-08-20 16:59:09,068 - INFO - Generated data for mecpot
2025-08-20 16:59:09,198 - INFO - Saved Data to data/mecpot_data.csv
2025-08-20 16:59:09,219 - INFO - Generated data for genpot1
2025-08-20 16:59:09,281 - INFO - Saved Data to data/genpot1_data.csv
2025-08-20 16:59:09,297 - INFO - Generated data for genpot2
2025-08-20 16:59:09,385 - INFO - Saved Data to data/genpot2_data.csv
2025-08-20 16:59:09,402 - INFO - Generated data for genpot3
2025-08-20 16:59:09,453 - INFO - Saved Data to data/genpot3_data.csv
2025-08-20 17:11:38,097 - INFO - Starting SHODes Framework
2025-08-20 17:11:38,097 - INFO - Generated data for mecpot
2025-08-20 17:11:38,166 - INFO - Saved Data to data/mecpot_data.csv
2025-08-20 17:11:38,185 - INFO - Generated data for genpot1
2025-08-20 17:11:38,250 - INFO - Saved Data to data/genpot1_data.csv
2025-08-20 17:11:38,267 - INFO - Generated data for genpot2
2025-08-20 17:11:38,332 - INFO - Saved Data to data/genpot2_data.csv
2025-08-20 17:11:38,348 - INFO - Generated data for genpot3
2025-08-20 17:11:38,411 - INFO - Saved Data to data/genpot3_data.csv
2025-08-20 17:11:41,874 - INFO - Training PINNs for mecpot
2025-08-20 17:11:42,374 - WARNING - Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
2025-08-20 17:11:42,418 - WARNING - Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
2025-08-20 17:53:34,234 - INFO - mecpot PINN17, Epoch 1000, Loss: 0.0052
2025-08-20 17:53:44,398 - INFO - mecpot PINN17, Epoch 1100, Loss: 0.0052
2025-08-20 17:53:54,416 - INFO - mecpot PINN17, Epoch 1200, Loss: 0.0052
2025-08-20 17:54:04,454 - INFO - mecpot PINN17, Epoch 1300, Loss: 0.0052
2025-08-20 17:54:14,484 - INFO - mecpot PINN17, Epoch 1400, Loss: 0.0052
2025-08-20 17:54:24,395 - INFO - Saved PINN 17 for mecpot
2025-08-20 17:54:24,519 - INFO - mecpot PINN18, Epoch 0, Loss: 0.2498
2025-08-20 17:54:34,584 - INFO - mecpot PINN18, Epoch 100, Loss: 0.0085
2025-08-20 17:54:44,588 - INFO - mecpot PINN18, Epoch 200, Loss: 0.0081
2025-08-20 17:54:54,617 - INFO - mecpot PINN18, Epoch 300, Loss: 0.0077
2025-08-20 17:55:04,670 - INFO - mecpot PINN18, Epoch 400, Loss: 0.0071
2025-08-20 17:55:14,714 - INFO - mecpot PINN18, Epoch 500, Loss: 0.0064
2025-08-20 17:55:24,777 - INFO - mecpot PINN18, Epoch 600, Loss: 0.0059
2025-08-20 17:55:34,845 - INFO - mecpot PINN18, Epoch 700, Loss: 0.0056
2025-08-20 17:55:44,893 - INFO - mecpot PINN18, Epoch 800, Loss: 0.0055
2025-08-20 17:55:54,973 - INFO - mecpot PINN18, Epoch 900, Loss: 0.0054
2025-08-20 17:56:05,039 - INFO - mecpot PINN18, Epoch 1000, Loss: 0.0054
2025-08-20 17:56:15,060 - INFO - mecpot PINN18, Epoch 1100, Loss: 0.0054
2025-08-20 17:56:25,029 - INFO - mecpot PINN18, Epoch 1200, Loss: 0.0054
2025-08-20 17:56:35,248 - INFO - mecpot PINN18, Epoch 1300, Loss: 0.0053
2025-08-20 17:56:45,379 - INFO - mecpot PINN18, Epoch 1400, Loss: 0.0053
2025-08-20 17:56:55,383 - INFO - Saved PINN 18 for mecpot
2025-08-20 17:56:55,503 - INFO - mecpot PINN19, Epoch 0, Loss: 0.2918
2025-08-20 17:57:05,551 - INFO - mecpot PINN19, Epoch 100, Loss: 0.0040
2025-08-20 17:57:15,575 - INFO - mecpot PINN19, Epoch 200, Loss: 0.0038
2025-08-20 17:57:25,671 - INFO - mecpot PINN19, Epoch 300, Loss: 0.0036
2025-08-20 17:57:35,677 - INFO - mecpot PINN19, Epoch 400, Loss: 0.0034
2025-08-20 17:57:45,654 - INFO - mecpot PINN19, Epoch 500, Loss: 0.0031
2025-08-20 17:57:55,676 - INFO - mecpot PINN19, Epoch 600, Loss: 0.0028
2025-08-20 17:58:05,703 - INFO - mecpot PINN19, Epoch 700, Loss: 0.0025
2025-08-20 17:58:15,725 - INFO - mecpot PINN19, Epoch 800, Loss: 0.0024
2025-08-20 17:58:25,773 - INFO - mecpot PINN19, Epoch 900, Loss: 0.0024
2025-08-20 17:58:35,798 - INFO - mecpot PINN19, Epoch 1000, Loss: 0.0024
2025-08-20 17:58:45,764 - INFO - mecpot PINN19, Epoch 1100, Loss: 0.0024
2025-08-20 17:58:55,912 - INFO - mecpot PINN19, Epoch 1200, Loss: 0.0024
2025-08-20 17:59:05,998 - INFO - mecpot PINN19, Epoch 1300, Loss: 0.0024
2025-08-20 17:59:16,073 - INFO - mecpot PINN19, Epoch 1400, Loss: 0.0024
2025-08-20 17:59:26,031 - INFO - Saved PINN 19 for mecpot
2025-08-20 17:59:26,157 - INFO - mecpot PINN20, Epoch 0, Loss: 1.2870
2025-08-20 17:59:36,185 - INFO - mecpot PINN20, Epoch 100, Loss: 0.0031
2025-08-20 17:59:46,196 - INFO - mecpot PINN20, Epoch 200, Loss: 0.0025
2025-08-20 17:59:56,203 - INFO - mecpot PINN20, Epoch 300, Loss: 0.0024
2025-08-20 18:00:06,305 - INFO - mecpot PINN20, Epoch 400, Loss: 0.0023
2025-08-20 18:00:16,285 - INFO - mecpot PINN20, Epoch 500, Loss: 0.0022
2025-08-20 18:00:26,313 - INFO - mecpot PINN20, Epoch 600, Loss: 0.0021
2025-08-20 18:00:36,331 - INFO - mecpot PINN20, Epoch 700, Loss: 0.0018
2025-08-20 18:00:46,433 - INFO - mecpot PINN20, Epoch 800, Loss: 0.0015
2025-08-20 18:00:56,462 - INFO - mecpot PINN20, Epoch 900, Loss: 0.0015
2025-08-20 18:01:06,549 - INFO - mecpot PINN20, Epoch 1000, Loss: 0.0015
2025-08-20 18:01:16,596 - INFO - mecpot PINN20, Epoch 1100, Loss: 0.0015
2025-08-20 18:01:26,625 - INFO - mecpot PINN20, Epoch 1200, Loss: 0.0015
2025-08-20 18:01:36,690 - INFO - mecpot PINN20, Epoch 1300, Loss: 0.0015
2025-08-20 18:01:46,701 - INFO - mecpot PINN20, Epoch 1400, Loss: 0.0015
2025-08-20 18:01:56,623 - INFO - Saved PINN 20 for mecpot
2025-08-20 18:01:56,751 - INFO - mecpot PINN21, Epoch 0, Loss: 0.4823
2025-08-20 18:02:06,815 - INFO - mecpot PINN21, Epoch 100, Loss: 0.0041
2025-08-20 18:02:16,825 - INFO - mecpot PINN21, Epoch 200, Loss: 0.0038
2025-08-20 18:02:26,837 - INFO - mecpot PINN21, Epoch 300, Loss: 0.0037
2025-08-20 18:02:36,847 - INFO - mecpot PINN21, Epoch 400, Loss: 0.0035
2025-08-20 18:02:46,851 - INFO - mecpot PINN21, Epoch 500, Loss: 0.0033
2025-08-20 18:02:56,832 - INFO - mecpot PINN21, Epoch 600, Loss: 0.0030
2025-08-20 18:03:06,842 - INFO - mecpot PINN21, Epoch 700, Loss: 0.0026
2025-08-20 18:03:16,885 - INFO - mecpot PINN21, Epoch 800, Loss: 0.0024
2025-08-20 18:03:26,903 - INFO - mecpot PINN21, Epoch 900, Loss: 0.0023
2025-08-20 18:03:36,890 - INFO - mecpot PINN21, Epoch 1000, Loss: 0.0023
2025-08-20 18:03:46,919 - INFO - mecpot PINN21, Epoch 1100, Loss: 0.0023
2025-08-20 18:03:56,994 - INFO - mecpot PINN21, Epoch 1200, Loss: 0.0023
2025-08-20 18:04:07,067 - INFO - mecpot PINN21, Epoch 1300, Loss: 0.0023
2025-08-20 18:04:17,062 - INFO - mecpot PINN21, Epoch 1400, Loss: 0.0023
2025-08-20 18:04:26,990 - INFO - Saved PINN 21 for mecpot
2025-08-20 18:04:27,109 - INFO - mecpot PINN22, Epoch 0, Loss: 0.1327
2025-08-20 18:04:37,130 - INFO - mecpot PINN22, Epoch 100, Loss: 0.0042
2025-08-20 18:04:47,130 - INFO - mecpot PINN22, Epoch 200, Loss: 0.0041
2025-08-20 18:04:57,118 - INFO - mecpot PINN22, Epoch 300, Loss: 0.0040
2025-08-20 18:05:07,117 - INFO - mecpot PINN22, Epoch 400, Loss: 0.0040
2025-08-20 18:05:17,112 - INFO - mecpot PINN22, Epoch 500, Loss: 0.0039
2025-08-20 18:05:27,151 - INFO - mecpot PINN22, Epoch 600, Loss: 0.0039
2025-08-20 18:05:37,228 - INFO - mecpot PINN22, Epoch 700, Loss: 0.0038
2025-08-20 18:05:47,180 - INFO - mecpot PINN22, Epoch 800, Loss: 0.0036
2025-08-20 18:05:57,143 - INFO - mecpot PINN22, Epoch 900, Loss: 0.0034
2025-08-20 18:06:07,122 - INFO - mecpot PINN22, Epoch 1000, Loss: 0.0030
2025-08-20 18:06:17,109 - INFO - mecpot PINN22, Epoch 1100, Loss: 0.0026
2025-08-20 18:06:27,128 - INFO - mecpot PINN22, Epoch 1200, Loss: 0.0025
2025-08-20 18:06:37,133 - INFO - mecpot PINN22, Epoch 1300, Loss: 0.0025
2025-08-20 18:06:47,096 - INFO - mecpot PINN22, Epoch 1400, Loss: 0.0024
2025-08-20 18:06:57,095 - INFO - Saved PINN 22 for mecpot
2025-08-20 18:06:57,217 - INFO - mecpot PINN23, Epoch 0, Loss: 1.3254
2025-08-20 18:07:07,359 - INFO - mecpot PINN23, Epoch 100, Loss: 0.0019
2025-08-20 18:07:17,392 - INFO - mecpot PINN23, Epoch 200, Loss: 0.0018
2025-08-20 18:07:27,451 - INFO - mecpot PINN23, Epoch 300, Loss: 0.0018
2025-08-20 18:07:37,420 - INFO - mecpot PINN23, Epoch 400, Loss: 0.0018
2025-08-20 18:07:47,364 - INFO - mecpot PINN23, Epoch 500, Loss: 0.0017
2025-08-20 18:07:57,537 - INFO - mecpot PINN23, Epoch 600, Loss: 0.0017
2025-08-20 18:08:07,682 - INFO - mecpot PINN23, Epoch 700, Loss: 0.0016
2025-08-20 18:08:17,757 - INFO - mecpot PINN23, Epoch 800, Loss: 0.0016
2025-08-20 18:08:27,830 - INFO - mecpot PINN23, Epoch 900, Loss: 0.0015
2025-08-20 18:08:38,052 - INFO - mecpot PINN23, Epoch 1000, Loss: 0.0014
2025-08-20 18:08:48,082 - INFO - mecpot PINN23, Epoch 1100, Loss: 0.0013
2025-08-20 18:08:58,215 - INFO - mecpot PINN23, Epoch 1200, Loss: 0.0012
2025-08-20 18:09:08,243 - INFO - mecpot PINN23, Epoch 1300, Loss: 0.0012
2025-08-20 18:09:18,326 - INFO - mecpot PINN23, Epoch 1400, Loss: 0.0011
2025-08-20 18:09:28,292 - INFO - Saved PINN 23 for mecpot
2025-08-20 18:09:28,412 - INFO - mecpot PINN24, Epoch 0, Loss: 0.0249
2025-08-20 18:09:38,443 - INFO - mecpot PINN24, Epoch 100, Loss: 0.0080
2025-08-20 18:09:48,450 - INFO - mecpot PINN24, Epoch 200, Loss: 0.0077
2025-08-20 18:09:58,463 - INFO - mecpot PINN24, Epoch 300, Loss: 0.0076
2025-08-20 18:10:08,504 - INFO - mecpot PINN24, Epoch 400, Loss: 0.0075
2025-08-20 18:10:18,545 - INFO - mecpot PINN24, Epoch 500, Loss: 0.0072
2025-08-20 18:10:28,571 - INFO - mecpot PINN24, Epoch 600, Loss: 0.0063
2025-08-20 18:10:38,592 - INFO - mecpot PINN24, Epoch 700, Loss: 0.0049
2025-08-20 18:10:48,655 - INFO - mecpot PINN24, Epoch 800, Loss: 0.0047
2025-08-20 18:10:58,700 - INFO - mecpot PINN24, Epoch 900, Loss: 0.0047
2025-08-20 18:11:08,792 - INFO - mecpot PINN24, Epoch 1000, Loss: 0.0047
2025-08-20 18:11:18,841 - INFO - mecpot PINN24, Epoch 1100, Loss: 0.0046
2025-08-20 18:11:28,934 - INFO - mecpot PINN24, Epoch 1200, Loss: 0.0046
2025-08-20 18:11:39,010 - INFO - mecpot PINN24, Epoch 1300, Loss: 0.0046
2025-08-20 18:11:49,033 - INFO - mecpot PINN24, Epoch 1400, Loss: 0.0046
2025-08-20 18:11:59,006 - INFO - Saved PINN 24 for mecpot
2025-08-20 18:11:59,137 - INFO - mecpot PINN25, Epoch 0, Loss: 0.1832
2025-08-20 18:12:09,091 - INFO - mecpot PINN25, Epoch 100, Loss: 0.0047
2025-08-20 18:12:19,112 - INFO - mecpot PINN25, Epoch 200, Loss: 0.0042
2025-08-20 18:12:29,170 - INFO - mecpot PINN25, Epoch 300, Loss: 0.0039
2025-08-20 18:12:39,167 - INFO - mecpot PINN25, Epoch 400, Loss: 0.0036
2025-08-20 18:12:49,193 - INFO - mecpot PINN25, Epoch 500, Loss: 0.0032
2025-08-20 18:12:59,229 - INFO - mecpot PINN25, Epoch 600, Loss: 0.0029
2025-08-20 18:13:09,208 - INFO - mecpot PINN25, Epoch 700, Loss: 0.0026
2025-08-20 18:13:19,178 - INFO - mecpot PINN25, Epoch 800, Loss: 0.0025
2025-08-20 18:13:29,213 - INFO - mecpot PINN25, Epoch 900, Loss: 0.0025
2025-08-20 18:13:39,210 - INFO - mecpot PINN25, Epoch 1000, Loss: 0.0024
2025-08-20 18:13:49,211 - INFO - mecpot PINN25, Epoch 1100, Loss: 0.0024
2025-08-20 18:13:59,165 - INFO - mecpot PINN25, Epoch 1200, Loss: 0.0024
2025-08-20 18:14:09,098 - INFO - mecpot PINN25, Epoch 1300, Loss: 0.0024
2025-08-20 18:14:19,095 - INFO - mecpot PINN25, Epoch 1400, Loss: 0.0023
2025-08-20 18:14:28,999 - INFO - Saved PINN 25 for mecpot
2025-08-20 18:14:29,000 - INFO - Training PINNs for genpot1
2025-08-20 18:14:29,127 - INFO - genpot1 PINN1, Epoch 0, Loss: 0.0902
2025-08-20 18:14:39,120 - INFO - genpot1 PINN1, Epoch 100, Loss: 0.0122
2025-08-20 18:14:49,062 - INFO - genpot1 PINN1, Epoch 200, Loss: 0.0120
2025-08-20 18:14:59,001 - INFO - genpot1 PINN1, Epoch 300, Loss: 0.0115
2025-08-20 18:15:08,955 - INFO - genpot1 PINN1, Epoch 400, Loss: 0.0102
2025-08-20 18:15:18,935 - INFO - genpot1 PINN1, Epoch 500, Loss: 0.0069
2025-08-20 18:15:28,878 - INFO - genpot1 PINN1, Epoch 600, Loss: 0.0063
2025-08-20 18:15:38,953 - INFO - genpot1 PINN1, Epoch 700, Loss: 0.0062
2025-08-20 18:15:48,878 - INFO - genpot1 PINN1, Epoch 800, Loss: 0.0062
2025-08-20 18:15:58,765 - INFO - genpot1 PINN1, Epoch 900, Loss: 0.0062
2025-08-20 18:16:08,700 - INFO - genpot1 PINN1, Epoch 1000, Loss: 0.0061
2025-08-20 18:16:18,602 - INFO - genpot1 PINN1, Epoch 1100, Loss: 0.0061
2025-08-20 18:16:28,607 - INFO - genpot1 PINN1, Epoch 1200, Loss: 0.0061
2025-08-20 18:16:38,622 - INFO - genpot1 PINN1, Epoch 1300, Loss: 0.0061
2025-08-20 18:16:48,575 - INFO - genpot1 PINN1, Epoch 1400, Loss: 0.0061
2025-08-20 18:16:58,409 - INFO - Saved PINN 1 for genpot1
2025-08-20 18:16:58,531 - INFO - genpot1 PINN2, Epoch 0, Loss: 0.7140
2025-08-20 18:17:08,512 - INFO - genpot1 PINN2, Epoch 100, Loss: 0.0050
2025-08-20 18:17:18,492 - INFO - genpot1 PINN2, Epoch 200, Loss: 0.0048
2025-08-20 18:17:28,517 - INFO - genpot1 PINN2, Epoch 300, Loss: 0.0046
2025-08-20 18:17:38,462 - INFO - genpot1 PINN2, Epoch 400, Loss: 0.0043
2025-08-20 18:17:48,426 - INFO - genpot1 PINN2, Epoch 500, Loss: 0.0036
2025-08-20 18:17:58,413 - INFO - genpot1 PINN2, Epoch 600, Loss: 0.0028
2025-08-20 18:18:08,411 - INFO - genpot1 PINN2, Epoch 700, Loss: 0.0026
2025-08-20 18:18:18,367 - INFO - genpot1 PINN2, Epoch 800, Loss: 0.0026
2025-08-20 18:18:28,357 - INFO - genpot1 PINN2, Epoch 900, Loss: 0.0026
2025-08-20 18:18:38,324 - INFO - genpot1 PINN2, Epoch 1000, Loss: 0.0026
2025-08-20 18:18:48,256 - INFO - genpot1 PINN2, Epoch 1100, Loss: 0.0025
2025-08-20 18:18:58,248 - INFO - genpot1 PINN2, Epoch 1200, Loss: 0.0025
2025-08-20 18:19:08,223 - INFO - genpot1 PINN2, Epoch 1300, Loss: 0.0025
2025-08-20 18:19:18,171 - INFO - genpot1 PINN2, Epoch 1400, Loss: 0.0025
2025-08-20 18:19:28,053 - INFO - Saved PINN 2 for genpot1
2025-08-20 18:19:28,183 - INFO - genpot1 PINN3, Epoch 0, Loss: 1.9146
2025-08-20 18:19:38,157 - INFO - genpot1 PINN3, Epoch 100, Loss: 0.0114
2025-08-20 18:19:48,075 - INFO - genpot1 PINN3, Epoch 200, Loss: 0.0102
2025-08-20 18:19:58,067 - INFO - genpot1 PINN3, Epoch 300, Loss: 0.0089
2025-08-20 18:20:08,093 - INFO - genpot1 PINN3, Epoch 400, Loss: 0.0076
2025-08-20 18:20:18,141 - INFO - genpot1 PINN3, Epoch 500, Loss: 0.0070
2025-08-20 18:20:28,054 - INFO - genpot1 PINN3, Epoch 600, Loss: 0.0066
2025-08-20 18:20:38,012 - INFO - genpot1 PINN3, Epoch 700, Loss: 0.0065
2025-08-20 18:20:47,983 - INFO - genpot1 PINN3, Epoch 800, Loss: 0.0063
2025-08-20 18:20:57,877 - INFO - genpot1 PINN3, Epoch 900, Loss: 0.0063
2025-08-20 18:21:07,767 - INFO - genpot1 PINN3, Epoch 1000, Loss: 0.0062
2025-08-20 18:21:17,681 - INFO - genpot1 PINN3, Epoch 1100, Loss: 0.0062
2025-08-20 18:21:27,574 - INFO - genpot1 PINN3, Epoch 1200, Loss: 0.0061
2025-08-20 18:21:37,561 - INFO - genpot1 PINN3, Epoch 1300, Loss: 0.0061
2025-08-20 18:21:47,486 - INFO - genpot1 PINN3, Epoch 1400, Loss: 0.0060
2025-08-20 18:21:57,357 - INFO - Saved PINN 3 for genpot1
2025-08-20 18:21:57,484 - INFO - genpot1 PINN4, Epoch 0, Loss: 0.3280
2025-08-20 18:22:07,411 - INFO - genpot1 PINN4, Epoch 100, Loss: 0.0051
2025-08-20 18:22:17,339 - INFO - genpot1 PINN4, Epoch 200, Loss: 0.0048
2025-08-20 18:22:27,284 - INFO - genpot1 PINN4, Epoch 300, Loss: 0.0047
2025-08-20 18:22:37,356 - INFO - genpot1 PINN4, Epoch 400, Loss: 0.0046
2025-08-20 18:22:47,274 - INFO - genpot1 PINN4, Epoch 500, Loss: 0.0044
2025-08-20 18:22:57,213 - INFO - genpot1 PINN4, Epoch 600, Loss: 0.0042
2025-08-20 18:23:07,121 - INFO - genpot1 PINN4, Epoch 700, Loss: 0.0037
2025-08-20 18:23:16,980 - INFO - genpot1 PINN4, Epoch 800, Loss: 0.0031
2025-08-20 18:23:26,942 - INFO - genpot1 PINN4, Epoch 900, Loss: 0.0027
2025-08-20 18:23:36,898 - INFO - genpot1 PINN4, Epoch 1000, Loss: 0.0026
2025-08-20 18:23:46,900 - INFO - genpot1 PINN4, Epoch 1100, Loss: 0.0025
2025-08-20 18:23:56,877 - INFO - genpot1 PINN4, Epoch 1200, Loss: 0.0025
2025-08-20 18:24:06,875 - INFO - genpot1 PINN4, Epoch 1300, Loss: 0.0025
2025-08-20 18:24:16,754 - INFO - genpot1 PINN4, Epoch 1400, Loss: 0.0025
2025-08-20 18:24:26,666 - INFO - Saved PINN 4 for genpot1
2025-08-20 18:24:26,787 - INFO - genpot1 PINN5, Epoch 0, Loss: 0.9241
2025-08-20 18:24:36,781 - INFO - genpot1 PINN5, Epoch 100, Loss: 0.0021
2025-08-20 18:24:46,721 - INFO - genpot1 PINN5, Epoch 200, Loss: 0.0020
2025-08-20 18:24:56,734 - INFO - genpot1 PINN5, Epoch 300, Loss: 0.0020
2025-08-20 18:25:06,720 - INFO - genpot1 PINN5, Epoch 400, Loss: 0.0019
2025-08-20 18:25:16,616 - INFO - genpot1 PINN5, Epoch 500, Loss: 0.0019
2025-08-20 18:25:26,604 - INFO - genpot1 PINN5, Epoch 600, Loss: 0.0018
2025-08-20 18:25:36,555 - INFO - genpot1 PINN5, Epoch 700, Loss: 0.0017
2025-08-20 18:25:46,544 - INFO - genpot1 PINN5, Epoch 800, Loss: 0.0016
2025-08-20 18:25:56,524 - INFO - genpot1 PINN5, Epoch 900, Loss: 0.0014
2025-08-20 18:26:06,520 - INFO - genpot1 PINN5, Epoch 1000, Loss: 0.0012
2025-08-20 18:26:16,467 - INFO - genpot1 PINN5, Epoch 1100, Loss: 0.0011
2025-08-20 18:26:26,502 - INFO - genpot1 PINN5, Epoch 1200, Loss: 0.0011
2025-08-20 18:26:36,519 - INFO - genpot1 PINN5, Epoch 1300, Loss: 0.0011
2025-08-20 18:26:46,522 - INFO - genpot1 PINN5, Epoch 1400, Loss: 0.0011
2025-08-20 18:26:56,439 - INFO - Saved PINN 5 for genpot1
2025-08-20 18:26:56,566 - INFO - genpot1 PINN6, Epoch 0, Loss: 0.0469
2025-08-20 18:27:06,521 - INFO - genpot1 PINN6, Epoch 100, Loss: 0.0211
2025-08-20 18:27:16,518 - INFO - genpot1 PINN6, Epoch 200, Loss: 0.0198
2025-08-20 18:27:26,499 - INFO - genpot1 PINN6, Epoch 300, Loss: 0.0167
2025-08-20 18:27:36,505 - INFO - genpot1 PINN6, Epoch 400, Loss: 0.0115
2025-08-20 18:27:46,476 - INFO - genpot1 PINN6, Epoch 500, Loss: 0.0111
2025-08-20 18:27:56,412 - INFO - genpot1 PINN6, Epoch 600, Loss: 0.0110
2025-08-20 18:28:06,357 - INFO - genpot1 PINN6, Epoch 700, Loss: 0.0109
2025-08-20 18:28:16,314 - INFO - genpot1 PINN6, Epoch 800, Loss: 0.0109
2025-08-20 18:28:26,291 - INFO - genpot1 PINN6, Epoch 900, Loss: 0.0109
2025-08-20 18:28:36,274 - INFO - genpot1 PINN6, Epoch 1000, Loss: 0.0109
2025-08-20 18:28:46,227 - INFO - genpot1 PINN6, Epoch 1100, Loss: 0.0109
2025-08-20 18:28:56,167 - INFO - genpot1 PINN6, Epoch 1200, Loss: 0.0108
2025-08-20 18:29:06,161 - INFO - genpot1 PINN6, Epoch 1300, Loss: 0.0108
2025-08-20 18:29:16,166 - INFO - genpot1 PINN6, Epoch 1400, Loss: 0.0109
2025-08-20 18:29:26,132 - INFO - Saved PINN 6 for genpot1
2025-08-20 18:29:26,259 - INFO - genpot1 PINN7, Epoch 0, Loss: 0.2615
2025-08-20 18:29:36,236 - INFO - genpot1 PINN7, Epoch 100, Loss: 0.0229
2025-08-20 18:29:46,183 - INFO - genpot1 PINN7, Epoch 200, Loss: 0.0214
2025-08-20 18:29:56,177 - INFO - genpot1 PINN7, Epoch 300, Loss: 0.0178
2025-08-20 18:30:06,222 - INFO - genpot1 PINN7, Epoch 400, Loss: 0.0131
2025-08-20 18:30:16,287 - INFO - genpot1 PINN7, Epoch 500, Loss: 0.0123
2025-08-20 18:30:26,344 - INFO - genpot1 PINN7, Epoch 600, Loss: 0.0120
2025-08-20 18:30:36,368 - INFO - genpot1 PINN7, Epoch 700, Loss: 0.0119
2025-08-20 18:30:46,427 - INFO - genpot1 PINN7, Epoch 800, Loss: 0.0119
2025-08-20 18:30:56,484 - INFO - genpot1 PINN7, Epoch 900, Loss: 0.0119
2025-08-20 18:31:06,478 - INFO - genpot1 PINN7, Epoch 1000, Loss: 0.0119
2025-08-20 18:31:16,479 - INFO - genpot1 PINN7, Epoch 1100, Loss: 0.0119
2025-08-20 18:31:26,484 - INFO - genpot1 PINN7, Epoch 1200, Loss: 0.0119
2025-08-20 18:31:36,528 - INFO - genpot1 PINN7, Epoch 1300, Loss: 0.0119
2025-08-20 18:31:46,475 - INFO - genpot1 PINN7, Epoch 1400, Loss: 0.0119
2025-08-20 18:31:56,337 - INFO - Saved PINN 7 for genpot1
2025-08-20 18:31:56,468 - INFO - genpot1 PINN8, Epoch 0, Loss: 0.7137
2025-08-20 18:32:06,427 - INFO - genpot1 PINN8, Epoch 100, Loss: 0.0057
2025-08-20 18:32:16,453 - INFO - genpot1 PINN8, Epoch 200, Loss: 0.0054
2025-08-20 18:32:26,443 - INFO - genpot1 PINN8, Epoch 300, Loss: 0.0052
2025-08-20 18:32:36,441 - INFO - genpot1 PINN8, Epoch 400, Loss: 0.0049
2025-08-20 18:32:46,414 - INFO - genpot1 PINN8, Epoch 500, Loss: 0.0046
2025-08-20 18:32:56,412 - INFO - genpot1 PINN8, Epoch 600, Loss: 0.0041
2025-08-20 18:33:06,382 - INFO - genpot1 PINN8, Epoch 700, Loss: 0.0036
2025-08-20 18:33:16,374 - INFO - genpot1 PINN8, Epoch 800, Loss: 0.0033
2025-08-20 18:33:26,399 - INFO - genpot1 PINN8, Epoch 900, Loss: 0.0031
2025-08-20 18:33:36,414 - INFO - genpot1 PINN8, Epoch 1000, Loss: 0.0031
2025-08-20 18:33:46,407 - INFO - genpot1 PINN8, Epoch 1100, Loss: 0.0030
2025-08-20 18:33:56,354 - INFO - genpot1 PINN8, Epoch 1200, Loss: 0.0030
2025-08-20 18:34:06,334 - INFO - genpot1 PINN8, Epoch 1300, Loss: 0.0030
2025-08-20 18:34:16,283 - INFO - genpot1 PINN8, Epoch 1400, Loss: 0.0030
2025-08-20 18:34:26,161 - INFO - Saved PINN 8 for genpot1
2025-08-20 18:34:26,280 - INFO - genpot1 PINN9, Epoch 0, Loss: 0.1501
2025-08-20 18:34:36,301 - INFO - genpot1 PINN9, Epoch 100, Loss: 0.0207
2025-08-20 18:34:46,281 - INFO - genpot1 PINN9, Epoch 200, Loss: 0.0187
2025-08-20 18:34:56,299 - INFO - genpot1 PINN9, Epoch 300, Loss: 0.0148
2025-08-20 18:35:06,321 - INFO - genpot1 PINN9, Epoch 400, Loss: 0.0117
2025-08-20 18:35:16,357 - INFO - genpot1 PINN9, Epoch 500, Loss: 0.0113
2025-08-20 18:35:26,327 - INFO - genpot1 PINN9, Epoch 600, Loss: 0.0111
2025-08-20 18:35:36,356 - INFO - genpot1 PINN9, Epoch 700, Loss: 0.0110
2025-08-20 18:35:46,363 - INFO - genpot1 PINN9, Epoch 800, Loss: 0.0110
2025-08-20 18:35:56,326 - INFO - genpot1 PINN9, Epoch 900, Loss: 0.0109
2025-08-20 18:36:06,330 - INFO - genpot1 PINN9, Epoch 1000, Loss: 0.0109
2025-08-20 18:36:16,315 - INFO - genpot1 PINN9, Epoch 1100, Loss: 0.0109
2025-08-20 18:36:26,323 - INFO - genpot1 PINN9, Epoch 1200, Loss: 0.0108
2025-08-20 18:36:36,419 - INFO - genpot1 PINN9, Epoch 1300, Loss: 0.0108
2025-08-20 18:36:46,454 - INFO - genpot1 PINN9, Epoch 1400, Loss: 0.0108
2025-08-20 18:36:56,413 - INFO - Saved PINN 9 for genpot1
2025-08-20 18:36:56,536 - INFO - genpot1 PINN10, Epoch 0, Loss: 0.0532
2025-08-20 18:37:06,569 - INFO - genpot1 PINN10, Epoch 100, Loss: 0.0047
2025-08-20 18:37:16,520 - INFO - genpot1 PINN10, Epoch 200, Loss: 0.0043
2025-08-20 18:37:26,504 - INFO - genpot1 PINN10, Epoch 300, Loss: 0.0041
2025-08-20 18:37:36,525 - INFO - genpot1 PINN10, Epoch 400, Loss: 0.0038
